ptr_id,year,member,class,source_url
2016-00375,2016,"Airworthiness Directives; Bombardier, Inc. Airplanes (Proposed Rule)",,https://www.federalregister.gov/documents/2016/01/19/2016-00375/airworthiness-directives-bombardier-inc-airplanes
2016-00888,2016,"Prohibitions in Region 8, Southern Region (Proposed Rule)",,https://www.federalregister.gov/documents/2016/01/19/2016-00888/prohibitions-in-region-8-southern-region
2016-00736,2016,Treatment of Indian Tribes in a Similar Manner as States for (Proposed Rule),,https://www.federalregister.gov/documents/2016/01/19/2016-00736/treatment-of-indian-tribes-in-a-similar-manner-as-states-for-purposes-of-section-303d-of-the-clean
2016-00917,2016,Diamond Sawblades and Parts Thereof From the People's Republ (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00917/diamond-sawblades-and-parts-thereof-from-the-peoples-republic-of-china-notice-of-court-decision-not
2016-00923,2016,Diamond Sawblades and Parts Thereof From the People's Republ (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00923/diamond-sawblades-and-parts-thereof-from-the-peoples-republic-of-china-notice-of-court-decision-not
2016-00920,2016,Steel Wire Garment Hangers From the People's Republic of Chi (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00920/steel-wire-garment-hangers-from-the-peoples-republic-of-china-2014-2015-partial-rescission-of-the
2016-00821,2016,Marine Mammals; File No. 18902 (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00821/marine-mammals-file-no-18902
2016-00839,2016,Mid-Atlantic Fishery Management Council (MAFMC); Public Meet (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00839/mid-atlantic-fishery-management-council-mafmc-public-meeting
2016-00857,2016,Marine Mammals; File No. 18727 (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00857/marine-mammals-file-no-18727
2016-00764,2016,Proposed Information Collection; Comment Request; State and  (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00764/proposed-information-collection-comment-request-state-and-local-implementation-grant-program
2016-00827,2016,Request for Information on Development of a Performance Test (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00827/request-for-information-on-development-of-a-performance-test-protocol-for-closed-system-transfer
2016-00866,2016,Agency Forms Undergoing Paperwork Reduction Act Review (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00866/agency-forms-undergoing-paperwork-reduction-act-review
2016-00800,2016,National Institute on Aging; Notice of Closed Meeting (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00800/national-institute-on-aging-notice-of-closed-meeting
2016-00799,2016,National Center for Advancing Translational Sciences; Notice (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00799/national-center-for-advancing-translational-sciences-notice-of-closed-meeting
2016-00861,2016,Changes in Flood Hazard Determinations (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00861/changes-in-flood-hazard-determinations
2016-00772,2016,Proposed Flood Hazard Determinations (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00772/proposed-flood-hazard-determinations
